13	804	1732
3	183	425.4885559082031	229.87266540527344
2	184	515.2015991210938	165.02774047851562
3	184	437.9747619628906	169.0752716064453
4	184	371.79498291015625	167.85765075683594
2	185	521.351806640625	102.76203155517578
3	185	443.4384765625	108.78897857666016
2	186	533.93896484375	322.0657653808594
3	186	456.9786376953125	320.623046875
2	187	555.4935913085938	125.5753402709961
3	187	475.1441345214844	131.49868774414062
2	188	565.70263671875	112.67202758789062
3	188	484.755615234375	118.8934097290039
2	189	585.5360717773438	212.31224060058594
3	189	503.5154724121094	214.8003387451172
1	190	348.6095275878906	189.01101684570312
3	190	225.50347900390625	191.53201293945312
1	191	358.45538330078125	227.2181854248047
3	191	236.00418090820312	229.9110565185547
1	192	371.8880310058594	193.7869110107422
3	192	248.98158264160156	196.15524291992188
1	193	372.1985778808594	284.0994873046875
3	193	251.0460205078125	287.38629150390625
1	194	378.5398864746094	181.14340209960938
3	194	255.675537109375	183.2397003173828
1	195	381.5157775878906	192.71405029296875
3	195	258.7978515625	194.8843231201172
1	196	388.1938781738281	172.86680603027344
3	196	265.07012939453125	174.9248504638672
1	197	403.44219970703125	236.1219024658203
3	197	281.3281555175781	238.38278198242188
4	197	217.4263916015625	238.096435546875
1	198	419.54522705078125	261.0912780761719
3	198	297.77349853515625	263.2362976074219
1	199	426.06317138671875	253.84112548828125
3	199	303.8893737792969	255.91722106933594
0	200	417.9324951171875	233.6618194580078
3	200	246.45082092285156	235.74075317382812
0	201	421.8213195800781	194.19363403320312
3	201	248.98158264160156	196.15524291992188
0	202	426.4131164550781	229.10891723632812
3	202	254.79141235351562	230.93605041503906
3	203	235.85267639160156	154.85809326171875
4	203	168.0037384033203	153.11366271972656
3	204	260.8197021484375	257.0472106933594
4	204	196.1486053466797	257.1253356933594
5	204	116.1928939819336	253.64657592773438
3	205	266.1278076171875	184.35411071777344
4	205	200.2915802001953	183.28890991210938
3	206	274.9826354980469	272.70361328125
4	206	211.0193328857422	272.8199768066406
3	207	279.16552734375	257.078857421875
4	207	214.905029296875	256.8611145019531
3	208	282.24639892578125	275.2590637207031
4	208	218.34776306152344	275.17596435546875
3	209	282.3209228515625	414.5196533203125
4	209	221.4583740234375	416.0079040527344
3	210	286.3581237792969	264.21630859375
4	210	222.47789001464844	264.1538391113281
3	211	287.39654541015625	351.70458984375
4	211	224.61215209960938	352.3028564453125
3	212	288.3617248535156	377.21990966796875
4	212	225.86793518066406	377.94488525390625
3	213	291.13037109375	180.76344299316406
4	213	225.9925537109375	179.63034057617188
3	214	295.05029296875	321.9433898925781
4	214	231.6929473876953	322.356689453125
3	215	316.67254638671875	171.075927734375
4	215	251.9968719482422	169.98068237304688
